Name,Rtg,Pos,Card,Nation,PAC,SHO,PAS,DRI,DEF,PHY,Link
Johan Mårtensson,67,CM,silver,Sweden,65,54,66,67,65,58,https://wefut.com/player/13/6627/johan-martensson
Kevin Conboy,67,LB,silver,Denmark,70,53,64,59,67,68,https://wefut.com/player/13/6596/kevin-conboy
Paul Taylor,67,ST,silver,England,76,62,45,73,38,52,https://wefut.com/player/13/6592/paul-taylor
Michael Morrison,67,CB,silver,England,59,32,56,39,67,70,https://wefut.com/player/13/6589/michael-morrison
Serey Die,67,CDM,silver,Ivory Coast,73,55,68,68,63,71,https://wefut.com/player/13/6583/serey-die
Rajiv van La Parra,67,RW,silver,Netherlands,82,60,58,73,41,48,https://wefut.com/player/13/6542/rajiv-van-la-parra
Edouard Butin,67,ST,silver,France,72,60,57,61,43,65,https://wefut.com/player/13/6512/edouard-butin
Melvin Platje,67,ST,silver,Netherlands,65,68,56,66,52,65,https://wefut.com/player/13/6494/melvin-platje
Dean Moxey,67,LB,silver,England,74,55,61,67,67,62,https://wefut.com/player/13/6476/dean-moxey
Gaetano Masucci,67,RW,silver,Italy,83,62,52,68,40,60,https://wefut.com/player/13/6443/gaetano-masucci
Horacio Erpen,67,RM,silver,Argentina,80,61,61,71,41,46,https://wefut.com/player/13/6442/horacio-erpen
Marco Piccioni,67,CB,silver,Italy,44,29,42,46,67,70,https://wefut.com/player/13/6440/marco-piccioni
Adrian Nikci,67,RM,silver,Switzerland,79,59,62,72,41,52,https://wefut.com/player/13/6411/adrian-nikci
Agon Mehmeti,67,ST,silver,Sweden,67,63,49,60,36,72,https://wefut.com/player/13/6356/agon-mehmeti
Stephan Hain,67,ST,silver,Germany,77,60,50,75,33,64,https://wefut.com/player/13/6314/stephan-hain
Seo Sang Min,67,CAM,silver,Korea Republic,76,63,65,66,63,62,https://wefut.com/player/13/6313/seo-sang-min
Emmanuel Ekpo,67,RW,silver,Nigeria,83,56,62,77,56,50,https://wefut.com/player/13/6310/emmanuel-ekpo
Ashley Barnes,67,ST,silver,Austria,64,63,50,66,48,69,https://wefut.com/player/13/6283/ashley-barnes
Kagisho Dikgacoi,67,CDM,silver,South Africa,64,57,62,58,70,72,https://wefut.com/player/13/6279/kagisho-dikgacoi
Pedrinho,67,RB,silver,Portugal,67,46,64,62,68,63,https://wefut.com/player/13/6263/pedrinho
Brandon McDonald,67,CB,silver,United States,64,52,53,58,69,70,https://wefut.com/player/13/6237/brandon-mcdonald
Ivan Radovanovic,67,CDM,silver,Serbia,58,60,68,64,65,63,https://wefut.com/player/13/6211/ivan-radovanovic
Néstor Vidrio,67,RB,silver,Mexico,56,59,65,59,70,70,https://wefut.com/player/13/6193/nestor-vidrio
Dušan Veškovac,67,CB,silver,Serbia,64,43,48,50,66,70,https://wefut.com/player/13/6190/dusan-veskovac
Edgar Pacheco,67,CAM,silver,Mexico,74,69,67,73,43,62,https://wefut.com/player/13/6178/edgar-pacheco
Geert Arend Roorda,67,CM,silver,Netherlands,61,68,66,65,61,61,https://wefut.com/player/13/6167/geert-arend-roorda
Tommy Smith,67,CB,silver,New Zealand,72,33,62,38,68,66,https://wefut.com/player/13/6145/tommy-smith
Juanmi Callejón,67,RM,silver,Spain,79,60,66,66,43,54,https://wefut.com/player/13/6011/juanmi-callejon
Michał Pazdan,67,CDM,silver,Poland,34,48,65,63,67,68,https://wefut.com/player/13/6007/michal-pazdan
Felipe Mattioni,67,RB,silver,Brazil,71,52,69,74,69,61,https://wefut.com/player/13/5999/felipe-mattioni
Flavio Santos,67,RW,silver,Mexico,79,61,59,70,40,65,https://wefut.com/player/13/5941/flavio-santos
Stef Nijland,67,LW,silver,Netherlands,74,65,61,68,41,63,https://wefut.com/player/13/5936/stef-nijland
Silvio,67,ST,silver,Brazil,70,65,59,69,45,74,https://wefut.com/player/13/5919/silvio
Hal Robson-Kanu,67,LM,silver,Wales,77,61,60,71,48,60,https://wefut.com/player/13/5902/hal-robson-kanu
Nicky Kuiper,67,LB,silver,Netherlands,59,47,63,61,67,67,https://wefut.com/player/13/5891/nicky-kuiper
Wiljan Pluim,67,CAM,silver,Netherlands,54,62,65,69,44,63,https://wefut.com/player/13/5890/wiljan-pluim
Adam Nemec,67,ST,silver,Slovakia,59,65,48,57,40,75,https://wefut.com/player/13/5885/adam-nemec
James Bailey,67,CM,silver,England,68,50,66,66,65,60,https://wefut.com/player/13/5873/james-bailey
Koh Myong Jin,67,CM,silver,Korea Republic,74,63,67,70,63,54,https://wefut.com/player/13/5866/koh-myong-jin
Chris Basham,67,CDM,silver,England,67,61,65,59,66,63,https://wefut.com/player/13/5848/chris-basham
Nill De Pauw,67,RW,silver,Belgium,71,62,62,71,48,67,https://wefut.com/player/13/5822/nill-de-pauw
Ángel Martínez,67,CM,silver,Spain,72,56,67,69,62,52,https://wefut.com/player/13/5804/angel-martinez
Daan Bovenberg,67,RB,silver,Netherlands,68,46,63,56,67,78,https://wefut.com/player/13/5797/daan-bovenberg
Donny Gorter,67,LB,silver,Netherlands,70,64,69,72,64,63,https://wefut.com/player/13/5794/donny-gorter
Teddy Chevalier,67,ST,silver,France,76,65,61,67,44,72,https://wefut.com/player/13/5786/teddy-chevalier
Mathieu Dossevi,67,RW,silver,France,75,60,62,71,39,57,https://wefut.com/player/13/5746/mathieu-dossevi
Mario de Luna,67,CB,silver,Mexico,66,34,56,50,68,68,https://wefut.com/player/13/5708/mario-de-luna
Joshua John,67,LW,silver,Netherlands,83,59,58,67,37,50,https://wefut.com/player/13/5682/joshua-john
Norman Theuerkauf,67,CDM,silver,Germany,68,58,68,63,66,64,https://wefut.com/player/13/5675/norman-theuerkauf
Chris Herd,67,CDM,silver,Australia,75,57,63,63,68,76,https://wefut.com/player/13/5663/chris-herd
Graham Burke,67,CF,silver,Republic of Ireland,59,67,54,66,33,50,https://wefut.com/player/13/5662/graham-burke
Johannes van den Bergh,67,LB,silver,Germany,76,45,63,62,67,66,https://wefut.com/player/13/5645/johannes-van-den-bergh
Cordero,67,CDM,silver,Spain,66,49,62,60,67,63,https://wefut.com/player/13/5621/cordero
Christopher Schorch,67,RB,silver,Germany,58,32,61,64,70,72,https://wefut.com/player/13/5619/christopher-schorch
Kévin Dupuis,67,ST,silver,France,66,63,48,64,40,66,https://wefut.com/player/13/5613/kevin-dupuis
Simon Zenke,67,ST,silver,Nigeria,75,65,37,67,40,68,https://wefut.com/player/13/5600/simon-zenke
Julian Palmieri,67,LW,silver,France,78,57,64,69,38,47,https://wefut.com/player/13/5455/julian-palmieri
Bader Al Kharashi,67,ST,silver,Saudi Arabia,76,64,50,67,37,68,https://wefut.com/player/13/5303/bader-al-kharashi
Arturo Paganoni,67,RB,silver,Mexico,78,55,62,68,64,60,https://wefut.com/player/13/5169/arturo-paganoni
Sam Vokes,67,ST,silver,Wales,67,62,54,65,47,76,https://wefut.com/player/13/5157/sam-vokes
Maurice Edu,67,CM,silver,United States,78,60,65,68,69,75,https://wefut.com/player/13/5142/maurice-edu
Mosquera,67,CM,silver,Spain,66,56,69,68,55,56,https://wefut.com/player/13/5084/mosquera
Tomasz Cywka,67,RM,silver,Poland,73,65,64,70,47,55,https://wefut.com/player/13/5077/tomasz-cywka
Simon Church,67,ST,silver,Wales,73,64,60,65,50,62,https://wefut.com/player/13/5075/simon-church
Luigi Vitale,67,LM,silver,Italy,69,60,70,69,66,62,https://wefut.com/player/13/5055/luigi-vitale
Andrea Luci,67,CM,silver,Italy,73,58,66,66,63,57,https://wefut.com/player/13/5052/andrea-luci
Mamadou Doumbia,67,CB,silver,Ivory Coast,51,34,52,37,70,71,https://wefut.com/player/13/5025/mamadou-doumbia
Pallardó,67,CDM,silver,Spain,62,53,63,59,68,58,https://wefut.com/player/13/4992/pallardo
Habib Habibou,67,LW,silver,France,80,64,58,72,41,69,https://wefut.com/player/13/4989/habib-habibou
André Leão,67,CDM,silver,Portugal,58,54,68,64,65,67,https://wefut.com/player/13/4972/andre-leao
Ludovic Sylvestre,67,CM,silver,France,69,63,71,68,57,70,https://wefut.com/player/13/4963/ludovic-sylvestre
Merouane Zemmama,67,CAM,silver,Morocco,76,62,66,68,35,33,https://wefut.com/player/13/4957/merouane-zemmama
José Daniel Guerrero,67,CDM,silver,Mexico,63,47,66,66,65,62,https://wefut.com/player/13/4931/jose-daniel-guerrero
Vinicius,67,CM,silver,Brazil,65,63,68,67,66,70,https://wefut.com/player/13/4922/vinicius
Cássio,67,ST,silver,Brazil,71,64,61,64,42,73,https://wefut.com/player/13/4920/cassio
Edy Brambila,67,CAM,silver,Mexico,72,62,63,71,50,61,https://wefut.com/player/13/4886/edy-brambila
Larsen Touré,67,ST,silver,Guinea,67,66,51,62,45,69,https://wefut.com/player/13/4801/larsen-toure
Gary Roberts,67,LM,silver,England,67,62,69,67,40,58,https://wefut.com/player/13/4782/gary-roberts
Oscar Razo,67,LB,silver,Mexico,67,55,65,63,68,68,https://wefut.com/player/13/4766/oscar-razo
Enrique Esqueda,67,ST,silver,Mexico,72,66,66,71,41,69,https://wefut.com/player/13/4746/enrique-esqueda
Adam Rooney,67,ST,silver,Republic of Ireland,65,65,55,65,39,69,https://wefut.com/player/13/4721/adam-rooney
Juan Toja,67,CAM,silver,Colombia,74,61,65,65,50,63,https://wefut.com/player/13/4717/juan-toja
Dax McCarty,67,CDM,silver,United States,70,61,69,66,62,56,https://wefut.com/player/13/4580/dax-mccarty
Nebojša Pavlović,67,CDM,silver,Serbia,52,56,57,52,70,71,https://wefut.com/player/13/4573/nebojsa-pavlovic
Jermaine Taylor,67,CB,silver,Jamaica,70,29,47,51,69,76,https://wefut.com/player/13/4545/jermaine-taylor
Erton Fejzullahu,67,ST,silver,Sweden,73,60,57,69,45,66,https://wefut.com/player/13/4527/erton-fejzullahu
Luis Henríquez,67,LB,silver,Panama,77,59,64,64,66,64,https://wefut.com/player/13/4511/luis-henriquez
Gabriel Enrique Gómez,67,CDM,silver,Panama,65,60,67,66,67,66,https://wefut.com/player/13/4510/gabriel-enrique-gomez
Rene Mihelič,67,CM,silver,Slovenia,71,65,71,71,52,59,https://wefut.com/player/13/4498/rene-mihelic
Miles Addison,67,CB,silver,England,52,29,56,48,66,72,https://wefut.com/player/13/4420/miles-addison
Jeff Hughes,67,LM,silver,Northern Ireland,76,66,67,67,44,52,https://wefut.com/player/13/4408/jeff-hughes
Andrea Rossi,67,LB,silver,Italy,73,44,61,61,68,55,https://wefut.com/player/13/4397/andrea-rossi
Gary Harkins,67,CM,silver,Scotland,65,63,65,69,60,67,https://wefut.com/player/13/4346/gary-harkins
Brett Pitman,67,ST,silver,England,69,69,59,64,38,62,https://wefut.com/player/13/4343/brett-pitman
Crespo,67,CB,silver,Spain,66,43,64,56,68,64,https://wefut.com/player/13/4332/crespo
Luís Manuel,67,CDM,silver,Portugal,55,46,62,55,65,65,https://wefut.com/player/13/4327/luis-manuel
Patrick Kristensen,67,RM,silver,Denmark,69,60,67,66,61,55,https://wefut.com/player/13/4316/patrick-kristensen
Joey van den Berg,67,CB,silver,Netherlands,70,61,72,69,66,70,https://wefut.com/player/13/4267/joey-van-den-berg
Christian Holst,67,CF,silver,Faroe Islands,64,67,57,62,51,60,https://wefut.com/player/13/4253/christian-holst
Rafael Figueroa,67,CB,silver,Mexico,51,46,53,53,67,75,https://wefut.com/player/13/4181/rafael-figueroa
Kandia Traoré,67,ST,silver,Ivory Coast,66,66,54,60,40,72,https://wefut.com/player/13/4170/kandia-traore
Jehu Chiapas,67,CM,silver,Mexico,70,52,66,62,68,66,https://wefut.com/player/13/4166/jehu-chiapas
Yann Kermorgant,67,ST,silver,France,62,69,57,57,45,72,https://wefut.com/player/13/4081/yann-kermorgant
Hernán Dellafiore,67,CB,silver,Italy,65,45,53,46,70,68,https://wefut.com/player/13/4074/hernan-dellafiore
Cole Skuse,67,CM,silver,England,70,54,69,66,66,68,https://wefut.com/player/13/4073/cole-skuse
Marcelo Díaz,67,CDM,silver,Chile,78,44,60,64,68,65,https://wefut.com/player/13/4009/shaun-cummings
Lee Peltier,67,RB,silver,England,73,35,60,62,68,62,https://wefut.com/player/13/3973/lee-peltier
Elliot Grandin,67,CAM,silver,France,77,61,69,72,49,65,https://wefut.com/player/13/3889/elliot-grandin
Tomislav Mikulic,67,CB,silver,Croatia,63,44,60,54,69,70,https://wefut.com/player/13/3886/tomislav-mikulic
Danny Grainger,67,LB,silver,England,63,45,61,63,65,66,https://wefut.com/player/13/3860/danny-grainger
Markus Karl,67,CDM,silver,Germany,49,55,62,57,69,70,https://wefut.com/player/13/3852/markus-karl
Henok Goitom,67,ST,silver,Sweden,63,62,54,70,41,75,https://wefut.com/player/13/3825/henok-goitom
César Villaluz,67,RM,silver,Mexico,80,61,66,69,40,61,https://wefut.com/player/13/3758/cesar-villaluz
Jorge Hernández,67,CM,silver,Mexico,68,46,67,62,66,56,https://wefut.com/player/13/3756/jorge-hernandez
Efraín Juárez,67,CB,silver,Mexico,72,54,66,67,67,67,https://wefut.com/player/13/3751/efrain-juarez
Aleksandar Radosavljević,67,CDM,silver,Slovenia,47,47,61,60,70,66,https://wefut.com/player/13/3727/aleksandar-radosavljevic
Braulio,67,ST,silver,Spain,71,68,50,63,40,75,https://wefut.com/player/13/3686/braulio
Kim Jae Sung,67,CM,silver,Korea Republic,72,67,67,66,62,62,https://wefut.com/player/13/3666/kim-jae-sung
Bocundji Ca,67,CDM,silver,Guinea Bissau,74,38,62,66,67,60,https://wefut.com/player/13/3613/bocundji-ca
Richard Soumah,67,CAM,silver,France,69,60,67,69,42,67,https://wefut.com/player/13/3595/richard-soumah
Owen Garvan,67,CM,silver,Republic of Ireland,70,64,69,65,57,55,https://wefut.com/player/13/3593/owen-garvan
Bobby Boswell,67,CB,silver,United States,39,34,54,49,68,78,https://wefut.com/player/13/3583/bobby-boswell
Heath Pearce,67,CB,silver,United States,77,51,62,66,68,66,https://wefut.com/player/13/3531/heath-pearce
Chris Rolfe,67,CF,silver,United States,74,67,58,67,47,64,https://wefut.com/player/13/3513/chris-rolfe
Will Johnson,67,LM,silver,Canada,80,59,62,67,60,63,https://wefut.com/player/13/3512/will-johnson
Tébar,67,CDM,silver,Spain,60,47,65,59,64,57,https://wefut.com/player/13/3440/tebar
Leon Barnett,67,CB,silver,England,68,27,41,49,69,72,https://wefut.com/player/13/3421/leon-barnett
Paul Robinson,67,CB,silver,England,59,40,48,44,69,72,https://wefut.com/player/13/3382/paul-robinson
Kelvin Wilson,67,CB,silver,England,69,24,56,61,68,71,https://wefut.com/player/13/3364/kelvin-wilson
Liam Fontaine,67,CB,silver,England,69,29,52,60,69,70,https://wefut.com/player/13/3325/liam-fontaine
Shaun Cummings,67,RB,silver,Republic of Ireland,62,24,55,58,67,68,https://wefut.com/player/13/3320/darren-o-dea
Faris Haroun,67,CAM,silver,Belgium,70,62,64,69,45,62,https://wefut.com/player/13/3227/faris-haroun
Óscar Rojas,67,RB,silver,Mexico,74,50,68,67,66,68,https://wefut.com/player/13/3179/oscar-rojas
Xabi Castillo,67,LB,silver,Spain,68,49,55,61,70,67,https://wefut.com/player/13/3178/xabi-castillo
Luis Robles,67,CB,silver,Mexico,71,48,59,58,67,74,https://wefut.com/player/13/3166/luis-robles
Shamil Asildarov,67,ST,silver,Russia,63,67,52,63,42,73,https://wefut.com/player/13/3158/shamil-asildarov
Rodrigo Defendi,67,CB,silver,Brazil,41,27,49,45,67,73,https://wefut.com/player/13/3045/rodrigo-defendi
Enis Alushi,67,CM,silver,Germany,70,57,68,70,59,64,https://wefut.com/player/13/3040/enis-alushi
Daniel Brückner,67,LM,silver,Germany,77,58,62,70,48,62,https://wefut.com/player/13/2992/daniel-bruckner
Luca Ceccarelli,67,CB,silver,Italy,66,40,56,52,67,69,https://wefut.com/player/13/2968/luca-ceccarelli
Gonzalo Pineda,67,CM,silver,Mexico,67,58,68,67,68,68,https://wefut.com/player/13/2940/gonzalo-pineda
Jamie Mackie,67,ST,silver,Scotland,78,63,59,70,57,62,https://wefut.com/player/13/2931/jamie-mackie
Stephen Elliott,67,ST,silver,Republic of Ireland,77,63,59,66,38,72,https://wefut.com/player/13/2904/stephen-elliott
Del Pino,67,RM,silver,Spain,67,58,66,66,49,71,https://wefut.com/player/13/2888/del-pino
Juan Carlos Medina,67,CM,silver,Mexico,70,64,70,69,60,63,https://wefut.com/player/13/2830/juan-carlos-medina
Jakub Rzeźniczak,67,RB,silver,Poland,77,41,62,53,68,63,https://wefut.com/player/13/2806/jakub-rzezniczak
Kasper Bøgelund,67,RB,silver,Denmark,66,50,67,63,66,65,https://wefut.com/player/13/2803/kasper-bogelund
Martin Cranie,67,CB,silver,England,68,40,62,54,66,70,https://wefut.com/player/13/2794/martin-cranie
Scott McDonald,67,ST,silver,Australia,76,63,55,66,49,68,https://wefut.com/player/13/2778/scott-mcdonald
Stephen McManus,67,CB,silver,Scotland,54,36,51,48,68,74,https://wefut.com/player/13/2762/stephen-mcmanus
Kenny Van Hoevelen,67,CB,silver,Belgium,65,36,53,50,67,69,https://wefut.com/player/13/2753/kenny-van-hoevelen
Steven De Petter,67,CDM,silver,Belgium,66,56,61,53,68,72,https://wefut.com/player/13/2742/steven-de-petter
Răzvan Cociş,67,CDM,silver,Romania,72,58,70,65,66,54,https://wefut.com/player/13/2718/razvan-cocis
Atle Roar Håland,67,CB,silver,Norway,43,42,46,43,64,74,https://wefut.com/player/13/2674/atle-roar-haland
Lee Barnard,67,ST,silver,England,69,63,47,62,43,71,https://wefut.com/player/13/2635/lee-barnard
Rafael Marques,67,ST,silver,Brazil,64,66,61,64,47,72,https://wefut.com/player/13/2602/rafael-marques
Bradley Orr,67,RB,silver,England,68,46,61,63,70,64,https://wefut.com/player/13/2589/bradley-orr
Danny Pugh,67,LM,silver,England,66,53,71,67,63,67,https://wefut.com/player/13/2584/danny-pugh
Andreas Hölzl,67,RM,silver,Austria,78,59,65,66,51,60,https://wefut.com/player/13/2531/andreas-holzl
Kasper Lorentzen,67,LM,silver,Denmark,75,61,60,71,42,46,https://wefut.com/player/13/2526/kasper-lorentzen
Ben Davies,67,RM,silver,England,66,68,65,70,59,61,https://wefut.com/player/13/2500/ben-davies
Aaron Mclean,67,ST,silver,England,75,63,44,67,44,67,https://wefut.com/player/13/2494/aaron-mclean
Branko Bošković,67,LM,silver,Montenegro,57,64,68,70,52,62,https://wefut.com/player/13/2460/branko-boskovic
Shlomi Arbitman,67,ST,silver,Israel,69,65,56,60,40,73,https://wefut.com/player/13/2417/shlomi-arbitman
Marcos de Paula,67,ST,silver,Brazil,62,66,51,62,48,66,https://wefut.com/player/13/2386/marcos-de-paula
Gil Vermouth,67,RM,silver,Israel,71,62,64,74,50,60,https://wefut.com/player/13/2384/gil-vermouth
Marc Höcher,67,LW,silver,Netherlands,74,64,66,67,41,57,https://wefut.com/player/13/2345/marc-hocher
Marek Zieńczuk,67,LM,silver,Poland,65,64,68,63,52,59,https://wefut.com/player/13/2341/marek-zienczuk
Nuñez,67,RM,silver,Spain,70,53,65,72,41,59,https://wefut.com/player/13/2228/nunez
Toni Moral,67,CAM,silver,Spain,74,59,64,72,42,52,https://wefut.com/player/13/2227/toni-moral
Edú,67,ST,silver,Brazil,72,68,61,66,45,61,https://wefut.com/player/13/2209/edu
Longás,67,CM,silver,Spain,64,51,71,68,50,46,https://wefut.com/player/13/2197/longas
Pablo Álvarez,67,RM,silver,Spain,72,59,66,70,53,60,https://wefut.com/player/13/2181/pablo-alvarez
Momo,67,LM,silver,Spain,71,63,64,71,40,56,https://wefut.com/player/13/2171/momo
Gerard Bordas,67,LM,silver,Spain,69,63,63,72,45,49,https://wefut.com/player/13/2144/gerard-bordas
Martin Kayongo-Mutumba,67,LM,silver,Uganda,75,57,59,75,43,54,https://wefut.com/player/13/2136/martin-kayongo-mutumba
Karel D'Haene,67,CB,silver,Belgium,46,38,61,50,68,70,https://wefut.com/player/13/2093/karel-d-haene
Javier Gandolfi,67,CB,silver,Argentina,37,36,57,48,68,68,https://wefut.com/player/13/2072/javier-gandolfi
Verza,67,CM,silver,Spain,55,64,72,56,59,52,https://wefut.com/player/13/2051/verza
Johnnie Jackson,67,LM,silver,Poland,67,62,62,67,64,62,https://wefut.com/player/13/2047/aleksander-kwiek
Marvin Cabrera,67,RB,silver,Mexico,70,50,64,61,67,60,https://wefut.com/player/13/1963/marvin-cabrera
Kevin Thomson,67,CDM,silver,Scotland,62,53,66,61,66,67,https://wefut.com/player/13/1957/kevin-thomson
Carl Medjani,67,CB,silver,Algeria,52,45,52,48,67,70,https://wefut.com/player/13/1939/carl-medjani
Mohamed Messoudi,67,CAM,silver,Belgium,69,59,63,70,52,61,https://wefut.com/player/13/1930/mohamed-messoudi
Patrick Kisnorbo,67,CB,silver,Australia,46,40,42,44,68,73,https://wefut.com/player/13/1905/patrick-kisnorbo
Francisco Torres,67,CM,silver,Mexico,79,66,66,73,63,58,https://wefut.com/player/13/1901/francisco-torres
Kim Sang Sik,67,CDM,silver,Korea Republic,71,53,65,65,67,73,https://wefut.com/player/13/1889/kim-sang-sik
Jonathan Stead,67,ST,silver,England,65,65,57,65,42,68,https://wefut.com/player/13/1873/jonathan-stead
Jaír García,67,ST,silver,Mexico,69,64,58,67,52,69,https://wefut.com/player/13/1853/jair-garcia
Billy Jones,67,RB,silver,England,67,53,64,64,67,66,https://wefut.com/player/13/1793/billy-jones
Ángel,67,LB,silver,Spain,68,39,67,60,68,59,https://wefut.com/player/13/1773/angel
Patrick McCarthy,67,CB,silver,Republic of Ireland,64,35,50,42,68,74,https://wefut.com/player/13/1748/patrick-mccarthy
Tamika Mkandawire,67,CB,silver,England,72,31,58,58,68,71,https://wefut.com/player/13/1736/tamika-mkandawire
Valerio Di Cesare,67,CB,silver,Italy,54,38,40,37,69,72,https://wefut.com/player/13/1694/valerio-di-cesare
Domenico Maietta,67,CB,silver,Italy,66,33,48,36,70,68,https://wefut.com/player/13/1690/domenico-maietta
Oliver Schröder,67,CDM,silver,Germany,55,45,56,56,71,69,https://wefut.com/player/13/1661/oliver-schroder
David Sauget,67,LB,silver,France,54,37,68,61,66,64,https://wefut.com/player/13/1641/david-sauget
Shalrie Joseph,67,CM,silver,Grenada,61,64,61,65,65,68,https://wefut.com/player/13/1636/shalrie-joseph
Mike Magee,67,LM,silver,United States,69,66,64,68,53,69,https://wefut.com/player/13/1634/mike-magee
Alessandro Budel,67,CDM,silver,Italy,60,60,73,63,64,62,https://wefut.com/player/13/1617/alessandro-budel
Cho Sung Hwan,67,CB,silver,Korea Republic,60,44,47,30,68,72,https://wefut.com/player/13/1588/cho-sung-hwan
Choi Tae Uk,67,RW,silver,Korea Republic,81,59,64,66,48,57,https://wefut.com/player/13/1585/choi-tae-uk
Adriano,67,CB,silver,Brazil,66,50,55,49,69,70,https://wefut.com/player/13/1537/adriano
Alessandro,67,RB,silver,Brazil,63,58,67,69,67,57,https://wefut.com/player/13/1534/alessandro
Alexander Ludwig,67,CAM,silver,Germany,69,66,68,71,41,50,https://wefut.com/player/13/1480/alexander-ludwig
Gunnar Heiðar Þorvaldsson,67,ST,silver,Iceland,77,61,42,56,38,65,https://wefut.com/player/13/1461/gunnar-heidar-thorvaldsson
Paul McShane,67,CB,silver,Republic of Ireland,61,36,54,42,67,72,https://wefut.com/player/13/1455/paul-mcshane
Mahir Sağlık,67,ST,silver,Turkey,71,62,48,71,40,66,https://wefut.com/player/13/1407/mahir-saglik
Lee Miller,67,ST,silver,Scotland,67,66,60,63,48,74,https://wefut.com/player/13/1355/lee-miller
Cristian Fiél,67,CDM,silver,Spain,54,61,66,65,65,59,https://wefut.com/player/13/1276/cristian-fiel
Deniz Dogan,67,CB,silver,Germany,66,48,41,40,68,72,https://wefut.com/player/13/1164/deniz-dogan
Mickaël Tacalfred,67,CB,silver,France,63,51,62,59,64,71,https://wefut.com/player/13/1152/mickael-tacalfred
Alexander Iashvili,67,CF,silver,Georgia,74,66,65,75,36,51,https://wefut.com/player/13/1120/alexander-iashvili
Florian Heller,67,RW,silver,Germany,68,61,63,70,64,68,https://wefut.com/player/13/1073/florian-heller
Carsten Rothenbach,67,RB,silver,Germany,67,53,66,61,68,70,https://wefut.com/player/13/1051/carsten-rothenbach
Paul McKenna,67,CM,silver,England,40,65,69,63,66,69,https://wefut.com/player/13/1016/paul-mckenna
Laurent Delorge,67,RM,silver,Belgium,76,58,63,66,60,56,https://wefut.com/player/13/1012/laurent-delorge
José Saez,67,CM,silver,France,51,59,67,62,65,59,https://wefut.com/player/13/1010/jose-saez
Stuart Parnaby,67,RB,silver,England,72,44,57,57,66,71,https://wefut.com/player/13/998/stuart-parnaby
Nyron Nosworthy,67,CB,silver,Jamaica,54,38,48,47,67,72,https://wefut.com/player/13/983/nyron-nosworthy
André Vilas Boas,67,CDM,silver,Portugal,56,44,61,59,68,69,https://wefut.com/player/13/923/andre-vilas-boas
Jesper Bech,67,CF,silver,Denmark,76,67,54,66,49,62,https://wefut.com/player/13/871/jesper-bech
Nelson Ferreira,67,LW,silver,Portugal,71,67,62,64,54,54,https://wefut.com/player/13/787/nelson-ferreira
David De Freitas,67,CAM,silver,France,59,61,66,66,59,61,https://wefut.com/player/13/772/david-de-freitas
Isaac Okoronkwo,67,CB,silver,Nigeria,59,44,48,57,69,76,https://wefut.com/player/13/735/isaac-okoronkwo
Kristian Bak Nielsen,67,CB,silver,Denmark,67,39,50,49,71,74,https://wefut.com/player/13/731/kristian-bak-nielsen
Fabrice Pancrate,67,RW,silver,France,81,63,55,66,37,68,https://wefut.com/player/13/705/fabrice-pancrate
Hans Cornelis,67,RB,silver,Belgium,67,60,65,63,65,63,https://wefut.com/player/13/651/hans-cornelis
Marcin Baszczyński,67,RB,silver,Poland,70,51,61,63,69,60,https://wefut.com/player/13/640/marcin-baszczynski
Daniel Bierofka,67,CDM,silver,Germany,72,62,64,70,66,57,https://wefut.com/player/13/615/daniel-bierofka
Julio Arca,67,CM,silver,Argentina,50,63,69,66,60,67,https://wefut.com/player/13/540/julio-arca
Davy De Beule,67,RM,silver,Belgium,66,64,65,67,50,59,https://wefut.com/player/13/538/davy-de-beule
Kim Nam Il,67,CDM,silver,Korea Republic,60,61,66,64,66,62,https://wefut.com/player/13/530/kim-nam-il
Daniel Gygax,67,RW,silver,Switzerland,76,60,59,66,44,54,https://wefut.com/player/13/524/daniel-gygax
Bas Sibum,67,CDM,silver,Netherlands,58,55,65,59,67,70,https://wefut.com/player/13/499/bas-sibum
Andreas Johansson,67,CM,silver,Sweden,54,59,67,54,72,72,https://wefut.com/player/13/475/andreas-johansson
Martin Albrechtsen,67,CB,silver,Denmark,67,44,52,52,69,70,https://wefut.com/player/13/466/martin-albrechtsen
Daniel Andersson,67,CB,silver,Sweden,25,44,54,51,73,59,https://wefut.com/player/13/441/daniel-andersson
Dave Kitson,67,ST,silver,England,59,65,57,66,45,70,https://wefut.com/player/13/403/dave-kitson
Ivica Banović,67,CM,silver,Croatia,53,61,68,66,62,66,https://wefut.com/player/13/348/ivica-banovic
Simon Cziommer,67,CM,silver,Germany,67,70,69,71,56,53,https://wefut.com/player/13/342/simon-cziommer
Alan Smith,67,CDM,silver,England,53,66,62,65,67,75,https://wefut.com/player/13/313/alan-smith
Olivier Kapo,67,CF,silver,France,76,66,58,72,39,66,https://wefut.com/player/13/268/olivier-kapo
Florian Bruns,67,RM,silver,Germany,68,63,68,61,61,63,https://wefut.com/player/13/250/florian-bruns
Tony,67,RB,silver,Portugal,69,43,68,61,66,60,https://wefut.com/player/13/209/tony
Roman Wallner,67,ST,silver,Austria,67,69,62,66,49,64,https://wefut.com/player/13/174/roman-wallner
Filipe Anunciação,67,CDM,silver,Portugal,50,50,65,57,67,68,https://wefut.com/player/13/173/filipe-anunciacao
