Name,Rtg,Card,Nation,DIV,HAN,KIC,REF,SPE,POS,Link
Rafael,68,silver,Brazil,74,68,66,73,33,60,https://wefut.com/player/13/6434/rafael
László Köteles,68,silver,Hungary,71,65,66,73,63,66,https://wefut.com/player/13/6127/laszlo-koteles
Rodolfo Cota,68,silver,Mexico,69,66,61,72,44,67,https://wefut.com/player/13/6074/rodolfo-cota
Yoann Thuram-Ulien,68,silver,France,74,67,61,73,39,68,https://wefut.com/player/13/5953/yoann-thuram-ulien
Alex Smithies,68,silver,England,70,66,67,75,59,62,https://wefut.com/player/13/5887/alex-smithies
Mitchell Langerak,68,silver,Australia,73,62,72,74,51,62,https://wefut.com/player/13/5471/mitchell-langerak
Yves De Winter,68,silver,Belgium,71,66,61,71,51,67,https://wefut.com/player/13/4909/yves-de-winter
David Da Costa,68,silver,Switzerland,66,71,63,66,58,70,https://wefut.com/player/13/4880/david-da-costa
Andy Gruenebaum,68,silver,United States,69,65,67,73,51,69,https://wefut.com/player/13/4736/andy-gruenebaum
Nicola Ravaglia,68,silver,Italy,67,67,59,73,56,68,https://wefut.com/player/13/4391/nicola-ravaglia
Jamie MacDonald,68,silver,Scotland,72,70,65,69,22,67,https://wefut.com/player/13/4106/jamie-macdonald
Hugo Ventura,68,silver,Portugal,68,67,69,71,44,65,https://wefut.com/player/13/4037/hugo-ventura
Rémy Riou,68,silver,France,70,71,71,68,38,65,https://wefut.com/player/13/3882/remy-riou
Adam Larsen Kwarasey,68,silver,Ghana,71,67,65,78,61,64,https://wefut.com/player/13/3640/adam-larsen-kwarasey
Tom Heaton,68,silver,England,70,68,64,68,35,67,https://wefut.com/player/13/3328/tom-heaton
Thomas Gebauer,68,silver,Germany,69,67,60,71,59,68,https://wefut.com/player/13/2834/thomas-gebauer
Simon Pouplin,68,silver,France,68,68,65,70,51,68,https://wefut.com/player/13/2672/simon-pouplin
Dmitriy Borodin,68,silver,Russia,67,72,71,70,40,65,https://wefut.com/player/13/2277/dmitriy-borodin
Sammy Bossut,68,silver,Belgium,71,67,57,72,62,64,https://wefut.com/player/13/2033/sammy-bossut
Alejandro Palacios,68,silver,Mexico,72,60,68,76,47,65,https://wefut.com/player/13/1975/alejandro-palacios
Boy Waterman,68,silver,Netherlands,70,64,70,72,52,65,https://wefut.com/player/13/1673/boy-waterman
Lionel Cappone,68,silver,France,70,61,67,72,48,74,https://wefut.com/player/13/1639/lionel-cappone
Stefán Magnússon,68,silver,Iceland,67,69,69,73,36,75,https://wefut.com/player/13/1463/doblas
Vlada Avramov,68,silver,Serbia,69,65,63,72,55,72,https://wefut.com/player/13/1288/vlada-avramov
Łukasz Załuska,68,silver,Poland,66,67,65,71,54,68,https://wefut.com/player/13/1119/lukasz-zaluska
Stefanos Kotsolis,68,silver,Greece,65,70,66,70,60,68,https://wefut.com/player/13/1032/stefanos-kotsolis
Jamie Ashdown,68,silver,England,71,70,65,68,51,64,https://wefut.com/player/13/942/jamie-ashdown
Ludovic Butelle,68,silver,France,72,66,57,71,49,63,https://wefut.com/player/13/707/ludovic-butelle
Kevin Hartman,68,silver,United States,74,55,71,69,54,73,https://wefut.com/player/13/358/kevin-hartman
Sander Boschker,68,silver,Netherlands,65,72,65,65,42,72,https://wefut.com/player/13/341/sander-boschker
Grzegorz Sandomierski,67,silverrare,Poland,74,64,67,71,55,61,https://wefut.com/player/13/13834/grzegorz-sandomierski
Issa Ndoye,67,silverrare,Senegal,69,58,61,74,30,67,https://wefut.com/player/13/10800/issa-ndoye
Patrick Rakovsky,67,silverrare,Germany,69,63,65,72,66,63,https://wefut.com/player/13/9844/patrick-rakovsky
Marco Bizot,67,silverrare,Netherlands,65,65,75,74,47,64,https://wefut.com/player/13/8637/marco-bizot
Thomas Kaminski,67,silverrare,Belgium,69,61,65,75,65,64,https://wefut.com/player/13/6518/thomas-kaminski
Grzegorz Sandomierski,67,silverrare,Poland,74,64,67,71,55,61,https://wefut.com/player/13/6413/grzegorz-sandomierski
Kim Christensen,67,silverrare,Denmark,70,63,76,72,42,63,https://wefut.com/player/13/2514/kim-christensen
Brian van Loo,67,silverrare,Netherlands,70,71,70,66,32,63,https://wefut.com/player/13/2347/brian-van-loo
Kevin Stuhr-Ellegaard,67,silverrare,Denmark,61,68,68,71,50,68,https://wefut.com/player/13/1732/kevin-stuhr-ellegaard
Bruno,67,silver,Brazil,68,67,64,71,44,67,https://wefut.com/player/13/13673/bruno
Timo Ochs,67,silver,Germany,69,66,54,72,49,64,https://wefut.com/player/13/12707/timo-ochs
Josh Saunders,67,silver,Puerto Rico,69,65,65,71,53,65,https://wefut.com/player/13/12535/josh-saunders
Tom Mickel,67,silver,Germany,70,64,68,69,47,64,https://wefut.com/player/13/12209/tom-mickel
William Hesmer,67,silver,United States,65,72,62,65,52,69,https://wefut.com/player/13/12033/william-hesmer
Daniel Davari,67,silver,Germany,68,67,66,70,58,65,https://wefut.com/player/13/9471/daniel-davari
Sergey Chepchugov,67,silver,Russia,65,67,67,70,45,72,https://wefut.com/player/13/8212/sergey-chepchugov
Mattia Perin,67,silver,Italy,67,63,60,74,57,67,https://wefut.com/player/13/8126/mattia-perin
Doblas,68,silver,Spain,70,64,65,72,32,69,https://wefut.com/player/13/8060/yasser-al-mosailem
Vid Belec,67,silver,Slovenia,65,64,60,73,53,67,https://wefut.com/player/13/7650/vid-belec
Jörg Siebenhandl,67,silver,Austria,71,64,73,70,56,64,https://wefut.com/player/13/7631/jorg-siebenhandl
Bruno,67,silver,Brazil,68,67,64,71,44,67,https://wefut.com/player/13/6822/bruno
Tom Mickel,67,silver,Germany,70,64,68,69,47,64,https://wefut.com/player/13/6738/tom-mickel
Alberto,67,silver,Spain,74,60,64,76,58,62,https://wefut.com/player/13/6231/alberto
Mario Daniel Vega,67,silver,Argentina,69,69,66,68,21,61,https://wefut.com/player/13/5975/mario-daniel-vega
Michele Arcari,67,silver,Italy,68,67,62,68,35,68,https://wefut.com/player/13/5913/michele-arcari
Lukas Königshofer,67,silver,Austria,71,62,74,73,50,64,https://wefut.com/player/13/5694/lukas-konigshofer
Alexander Stephan,67,silver,Germany,67,71,59,68,61,66,https://wefut.com/player/13/4809/alexander-stephan
Miguel Becerra,67,silver,Mexico,70,63,59,70,42,65,https://wefut.com/player/13/4763/miguel-becerra
Moeneeb Josephs,67,silver,South Africa,66,65,64,65,33,70,https://wefut.com/player/13/4501/moeneeb-josephs
Raïs M'Bolhi,67,silver,Algeria,68,65,66,74,62,63,https://wefut.com/player/13/4165/rais-m-bolhi
Sergio,67,silver,Spain,64,68,59,66,46,74,https://wefut.com/player/13/3430/sergio
Lasse Heinze,67,silver,Denmark,71,63,61,70,40,62,https://wefut.com/player/13/3273/lasse-heinze
Daniele Padelli,67,silver,Italy,68,67,65,69,45,67,https://wefut.com/player/13/3236/daniele-padelli
Marián Kelemen,67,silver,Slovakia,72,59,62,70,47,67,https://wefut.com/player/13/3181/marian-kelemen
Eugene Galeković,67,silver,Australia,71,62,62,69,58,63,https://wefut.com/player/13/3139/eugene-galekovic
Barel Mouko,67,silver,Congo,71,66,52,73,38,64,https://wefut.com/player/13/2856/barel-mouko
Carl Ikeme,67,silver,Nigeria,65,68,62,70,50,65,https://wefut.com/player/13/2723/carl-ikeme
William Hesmer,67,silver,United States,65,72,62,65,52,69,https://wefut.com/player/13/2668/william-hesmer
Ramazan Özcan,67,silver,Austria,67,64,61,70,52,67,https://wefut.com/player/13/2538/ramazan-ozcan
Florian Fromlowitz,67,silver,Germany,70,64,65,73,62,63,https://wefut.com/player/13/2448/florian-fromlowitz
Esteban,67,silver,Spain,67,66,73,66,44,70,https://wefut.com/player/13/2199/esteban
Jacobo,67,silver,Spain,70,68,73,69,41,68,https://wefut.com/player/13/2193/jacobo
Yasser Al Mosailem,67,silver,Republic of Ireland,65,70,59,69,34,67,https://wefut.com/player/13/1990/brian-murphy
Rafael,67,silver,Brazil,72,66,60,74,50,68,https://wefut.com/player/13/1955/rafael
Óscar Pérez,67,silver,Mexico,68,67,62,68,42,73,https://wefut.com/player/13/1950/oscar-perez
Frank Boeckx,67,silver,Belgium,70,63,73,69,61,65,https://wefut.com/player/13/1928/frank-boeckx
Nicola Pavarini,67,silver,Italy,71,60,61,63,30,72,https://wefut.com/player/13/1824/nicola-pavarini
Vladan Kujovic,67,silver,Serbia,65,69,63,67,59,70,https://wefut.com/player/13/1774/vladan-kujovic
Josh Saunders,67,silver,Puerto Rico,69,65,65,71,53,65,https://wefut.com/player/13/1740/josh-saunders
Jesper Hansen,67,silver,Denmark,67,64,68,72,36,65,https://wefut.com/player/13/1459/jesper-hansen
Bram Verbist,67,silver,Belgium,66,64,73,71,61,63,https://wefut.com/player/13/1425/bram-verbist
Logan Bailly,67,silver,Belgium,71,62,67,72,57,64,https://wefut.com/player/13/1420/logan-bailly
Lukas Kruse,67,silver,Germany,73,64,56,76,59,56,https://wefut.com/player/13/1406/lukas-kruse
Cyrille Merville,67,silver,France,68,69,67,67,46,69,https://wefut.com/player/13/1148/cyrille-merville
Timo Ochs,67,silver,Germany,69,66,54,72,49,64,https://wefut.com/player/13/1046/timo-ochs
Sven Neuhaus,67,silver,Germany,66,71,56,66,33,68,https://wefut.com/player/13/778/sven-neuhaus
Khalid Sinouh,67,silver,Morocco,70,65,56,66,51,70,https://wefut.com/player/13/193/khalid-sinouh
Ronan Le Crom,67,silver,France,67,66,63,67,37,67,https://wefut.com/player/13/130/ronan-le-crom
Fabien Farnolle,66,silverrare,Benin,68,66,65,63,39,75,https://wefut.com/player/13/7957/fabien-farnolle
Bill Hamid,66,silverrare,United States,70,72,51,66,66,58,https://wefut.com/player/13/7900/bill-hamid
Rafael Romo,66,silverrare,Venezuela,64,62,60,72,50,68,https://wefut.com/player/13/7657/rafael-romo
Mamadou Samassa,66,silverrare,France,69,61,57,71,54,64,https://wefut.com/player/13/6943/mamadou-samassa
Darley,66,silverrare,Brazil,71,62,63,75,71,58,https://wefut.com/player/13/5880/darley
Thorsten Stuckmann,66,silverrare,Germany,68,64,65,72,46,64,https://wefut.com/player/13/3920/thorsten-stuckmann
Joe Lewis,66,silverrare,England,74,56,60,74,66,62,https://wefut.com/player/13/2804/joe-lewis
Kenneth Høie,66,silverrare,Norway,67,63,64,79,35,52,https://wefut.com/player/13/1096/kenneth-hoie
Ricardo,66,silverrare,Portugal,73,55,76,67,48,70,https://wefut.com/player/13/96/ricardo
Brian Murphy,67,silver,Republic of Ireland,65,70,59,69,34,67,https://wefut.com/player/13/12045/liborio-sanchez
Jeon Sang Wook,66,silver,Korea Republic,68,66,64,66,56,69,https://wefut.com/player/13/11962/jeon-sang-wook
Jesús,66,silver,Spain,62,67,52,68,36,69,https://wefut.com/player/13/11961/jesus
Ben Amos,66,silver,England,67,68,67,74,50,61,https://wefut.com/player/13/11866/ben-amos
Kepa Arrizabalaga,66,silver,Spain,64,57,71,73,54,68,https://wefut.com/player/13/10102/kepa-arrizabalaga
Darren Keet,66,silver,South Africa,67,70,61,65,62,63,https://wefut.com/player/13/9589/darren-keet
Gabriel,66,silver,Brazil,74,62,63,71,43,58,https://wefut.com/player/13/9033/gabriel
Colin Coosemans,66,silver,Belgium,71,66,64,70,63,57,https://wefut.com/player/13/8623/colin-coosemans
Jeon Sang Wook,66,silver,Korea Republic,68,66,64,66,56,69,https://wefut.com/player/13/8444/jeon-sang-wook
Abdoulaye Diallo,66,silver,France,65,62,61,74,42,64,https://wefut.com/player/13/8044/abdoulaye-diallo
Bruno Veríssimo,66,silver,Portugal,67,70,66,69,23,70,https://wefut.com/player/13/7428/bruno-verissimo
Jesús,66,silver,Spain,62,67,52,68,36,69,https://wefut.com/player/13/7414/jesus
Kim Seung Gyu,66,silver,Korea Republic,67,61,62,67,57,68,https://wefut.com/player/13/7241/kim-seung-gyu
Lukas Hradecky,66,silver,Finland,73,65,60,66,43,62,https://wefut.com/player/13/7136/lukas-hradecky
Stefan Frei,66,silver,Switzerland,71,61,64,70,42,66,https://wefut.com/player/13/7029/stefan-frei
Łukasz Skorupski,66,silver,Poland,71,61,50,71,48,65,https://wefut.com/player/13/6884/lukasz-skorupski
Eloy Room,66,silver,Netherlands,64,70,62,65,60,66,https://wefut.com/player/13/6652/eloy-room
Kim Ho Jun,66,silver,Korea Republic,69,64,67,66,54,65,https://wefut.com/player/13/6328/kim-ho-jun
Yoel,66,silver,Spain,69,63,59,71,50,62,https://wefut.com/player/13/6042/yoel
Panagiotis Glykos,66,silver,Greece,72,66,60,72,56,66,https://wefut.com/player/13/6032/panagiotis-glykos
Liborio Sánchez,66,silver,Mexico,69,67,63,71,43,67,https://wefut.com/player/13/5879/liborio-sanchez
Ben Amos,66,silver,England,67,68,67,74,50,61,https://wefut.com/player/13/4435/ben-amos
Jonas Lössl,66,silver,Denmark,59,70,61,70,62,66,https://wefut.com/player/13/4311/jonas-lossl
David Forde,66,silver,Republic of Ireland,68,60,71,71,47,65,https://wefut.com/player/13/4149/david-forde
Robert Almer,66,silver,Austria,65,67,66,67,53,64,https://wefut.com/player/13/3431/robert-almer
Liborio Sánchez,66,silver,Mexico,69,67,63,71,43,66,https://wefut.com/player/13/3284/david-yelldell
Lorenzo Squizzi,66,silver,Italy,64,66,63,67,48,66,https://wefut.com/player/13/3026/lorenzo-squizzi
Olivier Werner,66,silver,Belgium,71,61,59,72,63,61,https://wefut.com/player/13/2880/olivier-werner
Alexandro Álvarez,66,silver,Mexico,66,63,61,68,41,65,https://wefut.com/player/13/2840/alexandro-alvarez
Zubikarai,66,silver,Spain,71,61,50,75,42,64,https://wefut.com/player/13/2777/zubikarai
Paweł Kieszek,66,silver,Poland,67,65,59,66,50,66,https://wefut.com/player/13/2319/pawel-kieszek
John Alvbåge,66,silver,Sweden,66,58,64,73,42,69,https://wefut.com/player/13/2121/john-alvbage
Radek Černý,66,silver,Czech Republic,70,63,53,70,41,64,https://wefut.com/player/13/2026/radek-cerny
Luca Anania,66,silver,Italy,63,62,71,69,63,72,https://wefut.com/player/13/2000/luca-anania
Yosgart Gutiérrez,66,silver,Mexico,67,66,63,68,44,69,https://wefut.com/player/13/1966/yosgart-gutierrez
César Lozano,66,silver,Mexico,68,63,60,69,46,66,https://wefut.com/player/13/1960/cesar-lozano
Landry Bonnefoi,66,silver,France,64,65,60,66,42,71,https://wefut.com/player/13/1700/landry-bonnefoi
Jan Glinker,66,silver,Germany,72,61,60,69,53,62,https://wefut.com/player/13/1678/jan-glinker
Goitia,66,silver,Spain,71,70,62,64,44,61,https://wefut.com/player/13/1675/goitia
Walter Bressan,66,silver,Italy,64,65,55,68,35,70,https://wefut.com/player/13/1626/walter-bressan
Philipp Heerwagen,66,silver,Germany,69,63,61,70,32,63,https://wefut.com/player/13/1422/philipp-heerwagen
Marjan Petkovic,66,silver,Germany,68,65,65,67,54,63,https://wefut.com/player/13/1410/marjan-petkovic
Joe Murphy,66,silver,Republic of Ireland,69,60,57,70,52,65,https://wefut.com/player/13/852/joe-murphy
Edward Gustafsson,66,silver,Sweden,64,60,62,70,60,70,https://wefut.com/player/13/456/edward-gustafsson
Matt Reis,66,silver,United States,70,66,69,67,54,61,https://wefut.com/player/13/347/matt-reis
Diederik Boer,66,silver,Netherlands,67,65,65,68,31,66,https://wefut.com/player/13/233/diederik-boer
Jesper Christiansen,66,silver,Denmark,69,61,70,73,36,63,https://wefut.com/player/13/165/jesper-christiansen
Lars Winde,66,silver,Denmark,68,56,62,74,63,67,https://wefut.com/player/13/145/lars-winde
Brilliant Khuzwayo,65,silverrare,South Africa,68,65,71,68,65,61,https://wefut.com/player/13/10733/brilliant-khuzwayo
Konstantinos Lamprou,65,silverrare,Greece,64,61,66,73,68,61,https://wefut.com/player/13/8515/konstantinos-lamprou
David Yelldell,66,silver,United States,67,57,68,73,61,66,https://wefut.com/player/13/3284/david-yelldell
Kristof Van Hout,65,silverrare,Belgium,67,65,60,65,35,66,https://wefut.com/player/13/6060/kristof-van-hout
Sébastien Bruzzese,65,silverrare,Belgium,63,60,68,74,68,62,https://wefut.com/player/13/5533/sebastien-bruzzese
Mikkel Andersen,65,silverrare,Denmark,68,61,65,70,37,63,https://wefut.com/player/13/4151/mikkel-andersen
Stephen Bywater,65,silverrare,England,66,67,54,67,65,64,https://wefut.com/player/13/994/stephen-bywater
Craig Samson,65,silver,Scotland,66,65,54,68,46,64,https://wefut.com/player/13/13714/craig-samson
Lee Grant,65,silver,England,68,65,68,68,56,58,https://wefut.com/player/13/13711/lee-grant
Kwoun Sun Tae,65,silver,Korea Republic,70,61,65,63,39,64,https://wefut.com/player/13/11562/kwoun-sun-tae
Ryan Meara,65,silver,Republic of Ireland,68,63,66,66,47,65,https://wefut.com/player/13/10175/ryan-meara
Marko Meerits,65,silver,Estonia,68,55,66,74,59,61,https://wefut.com/player/13/9741/marko-meerits
Michael Clepkens,65,silver,Belgium,73,57,61,72,62,59,https://wefut.com/player/13/8617/michael-clepkens
Daniel Batz,65,silver,Germany,64,66,72,70,59,61,https://wefut.com/player/13/8575/daniel-batz
Andrea Seculin,65,silver,Italy,70,60,50,75,45,60,https://wefut.com/player/13/8070/andrea-seculin
Benjamin Leroy,65,silver,France,69,65,59,71,34,68,https://wefut.com/player/13/8064/benjamin-leroy
Marc Vidal,65,silver,France,67,66,64,67,38,68,https://wefut.com/player/13/7763/marc-vidal
Alphonse Aréola,65,silver,Philippines,65,67,69,68,54,69,https://wefut.com/player/13/7570/alphonse-areola
Sean Johnson,65,silver,United States,70,58,52,71,60,63,https://wefut.com/player/13/7098/sean-johnson
Jasmin Burić,65,silver,Bosnia Herzegovina,61,63,61,72,47,61,https://wefut.com/player/13/7077/jasmin-buric
Simone Colombi,65,silver,Italy,68,62,52,74,56,62,https://wefut.com/player/13/6750/simone-colombi
Pape Abdoulaye Coulibaly,65,silver,Senegal,68,69,66,65,26,66,https://wefut.com/player/13/6496/pape-abdoulaye-coulibaly
Alberto Pomini,65,silver,Italy,63,61,55,70,50,69,https://wefut.com/player/13/6439/alberto-pomini
Jorge Díaz de León,65,silver,Mexico,68,63,64,68,46,59,https://wefut.com/player/13/6365/jorge-diaz-de-leon
David Hohs,65,silver,Germany,66,65,63,66,63,66,https://wefut.com/player/13/6183/david-hohs
Péter Gulácsi,65,silver,Hungary,65,69,61,66,60,65,https://wefut.com/player/13/6031/peter-gulacsi
Marek Štěch,65,silver,Czech Republic,64,67,65,67,50,66,https://wefut.com/player/13/5640/marek-stech
Oier,65,silver,Spain,64,65,72,58,45,73,https://wefut.com/player/13/5555/oier
Adam Legzdins,65,silver,England,70,65,65,65,35,64,https://wefut.com/player/13/5508/adam-legzdins
Tomislav Pacovski,65,silver,FYR Macedonia,67,61,57,68,60,62,https://wefut.com/player/13/5431/tomislav-pacovski
Danny Vukovic,65,silver,Australia,68,62,53,75,53,57,https://wefut.com/player/13/5384/danny-vukovic
Davide Bassi,65,silver,Italy,65,64,60,69,48,66,https://wefut.com/player/13/5020/davide-bassi
Robert Zwinkels,65,silver,Netherlands,63,65,65,68,47,67,https://wefut.com/player/13/4995/robert-zwinkels
Kwoun Sun Tae,65,silver,Korea Republic,70,61,65,63,39,64,https://wefut.com/player/13/4624/kwoun-sun-tae
Kenny Steppe,65,silver,Belgium,64,63,63,68,59,66,https://wefut.com/player/13/4558/kenny-steppe
Manu,65,silver,Spain,68,60,67,72,56,63,https://wefut.com/player/13/4317/manu
Ben Hamer,65,silver,England,69,63,65,66,49,63,https://wefut.com/player/13/4043/ben-hamer
Israel Villaseñor,65,silver,Mexico,64,67,64,68,40,65,https://wefut.com/player/13/3964/israel-villasenor
Rob Elliot,65,silver,England,67,63,64,66,47,67,https://wefut.com/player/13/3805/rob-elliot
Bill Gaudette,65,silver,Puerto Rico,67,64,64,66,49,68,https://wefut.com/player/13/3504/bill-gaudette
Mark Bunn,65,silver,England,64,67,68,74,48,59,https://wefut.com/player/13/3209/mark-bunn
David Ousted,65,silver,Denmark,70,64,60,66,58,63,https://wefut.com/player/13/3207/david-ousted
Christian Martínez,65,silver,Mexico,67,64,64,63,49,66,https://wefut.com/player/13/3204/christian-martinez
Roberto Colombo,65,silver,Italy,63,64,55,69,53,68,https://wefut.com/player/13/3047/roberto-colombo
Craig Samson,65,silver,Scotland,66,65,54,68,46,64,https://wefut.com/player/13/2760/craig-samson
Darryl Flahavan,65,silver,England,63,63,65,66,52,70,https://wefut.com/player/13/2632/darryl-flahavan
Troy Perkins,65,silver,United States,68,69,53,66,55,65,https://wefut.com/player/13/2619/troy-perkins
Romain Salin,65,silver,France,67,65,60,66,25,63,https://wefut.com/player/13/2447/romain-salin
Szabolcs Sáfár,65,silver,Hungary,63,63,60,66,51,70,https://wefut.com/player/13/2271/szabolcs-safar
David Zibung,65,silver,Switzerland,67,59,62,72,56,63,https://wefut.com/player/13/2107/david-zibung
Alfonso Blanco,65,silver,Mexico,64,67,62,62,43,63,https://wefut.com/player/13/1903/choi-eun-sung
Dean Gerken,65,silver,England,69,60,62,70,56,61,https://wefut.com/player/13/1897/dean-gerken
Niki Mäenpää,65,silver,Finland,68,64,70,66,31,60,https://wefut.com/player/13/1541/niki-maenpaa
Casper Ankergren,65,silver,Denmark,69,58,54,70,55,64,https://wefut.com/player/13/1457/casper-ankergren
David Martin,65,silver,England,67,58,67,73,50,65,https://wefut.com/player/13/1322/david-martin
Daniel Ischdonat,65,silver,Germany,62,60,64,68,52,72,https://wefut.com/player/13/1277/daniel-ischdonat
Pascal Grünwald,65,silver,Austria,67,61,66,69,53,62,https://wefut.com/player/13/1169/pascal-grunwald
Mike Pollitt,65,silver,England,64,68,66,62,50,67,https://wefut.com/player/13/979/mike-pollitt
Lee Grant,65,silver,England,68,65,68,68,56,58,https://wefut.com/player/13/955/lee-grant
Jon Busch,65,silver,United States,69,62,55,68,51,67,https://wefut.com/player/13/726/jon-busch
Johan Liébus,65,silver,France,66,64,68,63,46,65,https://wefut.com/player/13/706/johan-liebus
Christian Vander,65,silver,Germany,65,59,56,69,45,68,https://wefut.com/player/13/486/christian-vander
Dime Jankulovski,65,silver,Sweden,69,59,45,71,29,68,https://wefut.com/player/13/432/dime-jankulovski
David Meul,65,silver,Belgium,66,64,59,68,39,64,https://wefut.com/player/13/336/david-meul
Steve Simonsen,65,silver,England,72,52,70,74,53,61,https://wefut.com/player/13/326/steve-simonsen
Michael Hofmann,65,silver,Germany,70,66,47,64,26,61,https://wefut.com/player/13/176/michael-hofmann
Ante Čović,64,bronzeblue,Australia,71,71,67,72,40,68,https://wefut.com/player/13/12960/ante-covic
Richard Brush,64,bronzeif,England,57,60,57,63,53,60,https://wefut.com/player/13/14245/richard-brush
Brad Knighton,64,bronzeif,United States,70,65,60,68,43,65,https://wefut.com/player/13/13954/brad-knighton
Sten Michael Grytebust,64,bronzeif,Norway,71,68,49,81,23,68,https://wefut.com/player/13/13302/sten-michael-grytebust
Joe Bendik,64,bronzeif,United States,60,60,56,62,14,65,https://wefut.com/player/13/13277/joe-bendik
Javi Jiménez,64,bronzeif,Spain,79,57,64,70,50,60,https://wefut.com/player/13/13253/javi-jimenez
Max Friesacher,64,bronzeif,Austria,66,64,48,65,42,60,https://wefut.com/player/13/13026/max-friesacher
Benjamin Kirsten,64,bronzeif,Germany,74,66,54,72,44,65,https://wefut.com/player/13/12909/benjamin-kirsten
Jamie Langfield,64,bronzeif,Scotland,70,62,53,68,31,67,https://wefut.com/player/13/11728/jamie-langfield
Choi Eun Sung,65,silver,Korea Republic,68,61,67,67,43,62,https://wefut.com/player/13/11690/daouda-diakite
Scott Flinders,64,bronzeif,England,67,67,58,72,65,65,https://wefut.com/player/13/11648/scott-flinders
Felipe Melo,64,bronzeif,Brazil,71,59,60,66,62,59,https://wefut.com/player/13/11222/felipe-melo
Paulo Gazzaniga,64,bronzerare,Argentina,72,60,87,71,62,57,https://wefut.com/player/13/12407/paulo-gazzaniga
Abdullah Al Saleh,64,bronzerare,Saudi Arabia,66,66,67,64,48,67,https://wefut.com/player/13/12403/abdullah-al-saleh
Khalid Sharahili,64,bronzerare,Saudi Arabia,67,62,59,62,42,69,https://wefut.com/player/13/12401/khalid-sharahili
Parfait Mandanda,64,bronzerare,DR Congo,72,58,58,73,68,59,https://wefut.com/player/13/12400/parfait-mandanda
Ole Söderberg,64,bronzerare,Sweden,68,67,65,75,55,67,https://wefut.com/player/13/12395/ole-soderberg
Sten Michael Grytebust,64,bronzerare,Norway,67,64,49,79,23,65,https://wefut.com/player/13/12394/sten-michael-grytebust
Abdullah Al Auichir,64,bronzerare,Saudi Arabia,70,70,64,65,59,67,https://wefut.com/player/13/12387/abdullah-al-auichir
Steve Mildenhall,64,bronzerare,England,63,65,67,62,56,67,https://wefut.com/player/13/11558/steve-mildenhall
Mickey van der Hart,64,bronzerare,Netherlands,67,57,64,67,41,67,https://wefut.com/player/13/10447/mickey-van-der-hart
Jay Lynch,64,bronzerare,England,70,60,58,67,42,61,https://wefut.com/player/13/10174/jay-lynch
Benjamin Kirsten,64,bronzerare,Germany,69,61,54,68,44,59,https://wefut.com/player/13/9403/benjamin-kirsten
Zacharie Boucher,64,bronzerare,France,66,61,57,71,56,65,https://wefut.com/player/13/8904/zacharie-boucher
Luca Veronese,64,bronzerare,France,68,69,58,57,35,71,https://wefut.com/player/13/8828/luca-veronese
Filip Kurto,64,bronzerare,Poland,66,63,55,67,64,63,https://wefut.com/player/13/7639/filip-kurto
Dušan Perniš,64,bronzerare,Slovakia,64,62,59,64,38,67,https://wefut.com/player/13/7578/dusan-pernis
Koen Casteels,64,bronzerare,Belgium,68,62,58,67,34,59,https://wefut.com/player/13/7540/koen-casteels
Yoo Hyun,64,bronzerare,Korea Republic,64,66,62,66,44,66,https://wefut.com/player/13/7267/yoo-hyun
Matthieu Dreyer,64,bronzerare,France,65,71,58,69,49,57,https://wefut.com/player/13/5810/matthieu-dreyer
Jens Grahl,64,bronzerare,Germany,69,62,58,66,51,57,https://wefut.com/player/13/5650/jens-grahl
Thorsten Kirschbaum,64,bronzerare,Germany,69,61,55,65,60,60,https://wefut.com/player/13/5505/thorsten-kirschbaum
Jorge Villalpando,64,bronzerare,Mexico,66,59,61,71,62,62,https://wefut.com/player/13/5433/jorge-villalpando
Michael Theo,64,bronzerare,Australia,63,64,63,60,45,71,https://wefut.com/player/13/5287/michael-theo
Daouda Diakite,64,bronzeif,Burkina Faso,74,61,55,71,26,55,https://wefut.com/player/13/5261/clint-bolton
Tally Hall,64,bronzerare,United States,63,72,65,65,31,64,https://wefut.com/player/13/5209/tally-hall
Peter Brezovan,64,bronzerare,Slovakia,66,64,60,73,31,63,https://wefut.com/player/13/4872/peter-brezovan
Nicholas Caglioni,64,bronzerare,Italy,64,59,52,70,32,68,https://wefut.com/player/13/4229/nicholas-caglioni
Tommy Lee,64,bronzerare,England,61,64,60,70,39,63,https://wefut.com/player/13/3986/tommy-lee
Brad Jones,64,bronzerare,Australia,66,57,68,66,63,66,https://wefut.com/player/13/3651/brad-jones
Jugoslav Lazic,64,bronzerare,Serbia,71,53,66,69,33,67,https://wefut.com/player/13/3372/jugoslav-lazic
Sören Pirson,64,bronzerare,Germany,63,64,58,65,49,66,https://wefut.com/player/13/2958/soren-pirson
Krzysztof Kotorowski,64,bronzerare,Poland,72,54,64,71,37,62,https://wefut.com/player/13/2696/krzysztof-kotorowski
Matt Pickens,64,bronzerare,United States,66,63,63,64,35,67,https://wefut.com/player/13/2666/matt-pickens
Scott Flinders,64,bronzerare,England,64,65,58,68,64,61,https://wefut.com/player/13/2559/scott-flinders
Wouter Biebauw,64,bronzerare,Belgium,67,61,55,71,45,61,https://wefut.com/player/13/2519/wouter-biebauw
Nikki Bull,64,bronzerare,England,67,62,51,71,50,61,https://wefut.com/player/13/2492/nikki-bull
